n_documents_in_typesense,timing_insert,timing_search,n_search_result
100,0.2761578570025449,0.007551919999968959,0
200,0.3059661600018444,0.008908120998967206,0
300,0.28987519099973724,0.006832797000242863,0
400,0.29368959800194716,0.006807483001466608,0
500,0.2849307899996347,0.007009895001829136,0
600,0.279315106003196,0.006901648001075955,0
700,0.30849937699895236,0.00721164599963231,0
800,0.31020599299881724,0.007324928999878466,0
900,0.3282980120020511,0.007453654001437826,0
1000,0.31562627099992824,0.007586288997117663,0
1100,0.33210998399954406,0.007487552997190505,0
1200,0.3190891929989448,0.007209012997918762,0
1300,0.3018485749998945,0.007480907999706687,0
1400,0.3448881670010451,0.007021771001745947,0
1500,0.29732600600254955,0.00742582000020775,0
1600,0.33616024799994193,0.007015229999524308,0
1700,0.3509499550018518,0.007705492000241065,0
1800,0.32590753700060304,0.00711808100095368,0
1900,0.3211554849985987,0.007749109998258064,0
2000,0.32446853399960673,0.007198694001999684,0
2100,0.317092474000674,0.007015045997832203,0
2200,0.33470646000205306,0.007177095998486038,0
2300,0.3288165359990671,0.007281845002580667,0
2400,0.328406938999251,0.007115305998013355,0
2500,0.3286220369991497,0.007319611999264453,0
2600,0.3209364709982765,0.007287568998435745,0
2700,0.3161035470002389,0.007086644000082742,0
2800,0.3257868510008848,0.008461389999865787,0
2900,0.35351583400188247,0.0070459599992318545,0
3000,0.32370148900008644,0.00721883099686238,0
3100,0.3184998729993822,0.0074036939986399375,0
3200,0.348176894000062,0.00732196800163365,0
3300,0.361449645999528,0.0073332309984834865,0
3400,0.3404112749994965,0.007228595997730736,0
3500,0.33507963300144183,0.007085714001732413,0
3600,0.3753399039997021,0.00842050099890912,0
3700,0.3808793459975277,0.007891893001215067,0
3800,0.36546503600038704,0.007363510998402489,0
3900,0.34802383799979,0.007861283000238473,0
4000,0.3672528509996482,0.007715919997281162,0
4100,0.35978860999966855,0.00806628999998793,0
4200,0.3457381340012944,0.007233890999486903,0
4300,0.3654135270007828,0.007791270003508544,0
4400,0.36153540200029965,0.007191785000031814,0
4500,0.33821727099712007,0.00742734700179426,0
4600,0.3711693410004955,0.007736650000879308,0
4700,0.34248105799997575,0.007573186998342862,0
4800,0.3745554170018295,0.00773605900030816,0
4900,0.3562919139985752,0.00727281400031643,0
5000,0.34732204899773933,0.0074438829979044385,0
5100,0.3538119349977933,0.007723376002104487,0
5200,0.3636565929991775,0.008215056001063203,0
